scenario_id,owner,use_case,quality_question,combination_id,dimension_values,user_input,style,expected_behavior,why_included,set_type
A01,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C01,"full_context + couple + heritage + low","Mình và người yêu đi Đà Nẵng Hội An 4 ngày, ~3 triệu/ngày, ưu tiên phố cổ và di sản nhé",dài,"Parse đủ 5 mục; acknowledge; enable generate","Baseline happy path cặp đôi",representative
A02,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C01,"full_context + couple + heritage + low","2 người 4 ngày ĐN-HA budget 2 triệu/ngày thích văn hóa",ngắn,"Parse đủ 5 mục; enable generate","Cùng C01 — style ngắn",representative
A03,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C02,"missing_budget + friends_group + food + medium","Nhóm 4 đứa bạn đi Quảng Bình 5 ngày ưu tiên ăn uống và hang động chưa tính tiền chi tiết",dài,"Điền 4 mục; Ask budget khi bấm generate","Test missing_budget + friends",representative
A04,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C02,"missing_budget + friends_group + food + medium","3 bạn Phong Nha food tour 4 ngày chưa nghĩ ngân sách",ngắn,"Điền các mục trừ budget; modal Ask khi generate","Representative thiếu budget",representative
A05,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C03,"missing_destination + ambiguous + solo + low","Muốn đi chơi miền Trung chill vài ngày một mình",mơ hồ,"Hỏi điểm đến; chip gợi ý; không đoán","Missing destination + ambiguity",challenge
A06,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C03,"missing_destination + ambiguous + solo + low","trip relax central Vietnam maybe? solo",mixed language,"Hỏi destination; giữ ambiguity","Mixed language — style diversity",challenge
A07,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C04,"missing_duration + couple + DN-HA + low","Vợ chồng mình muốn đi Đà Nẵng Hội An thích biển và phố cổ",dài,"Parse destination; hỏi số ngày","Missing duration sau destination",representative
A08,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C04,"missing_duration + couple + DN-HA + low","Đôi mình plan Hội An chưa chốt mấy ngày",ngắn,"Parse DN-HA; hỏi duration","Cùng C04 — explicit missing duration",representative
A09,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C05,"conflicting + multi-city + couple + medium","3 ngày thôi nhưng muốn kịp Phong Nha DMZ Huế luôn 2 người",dài,"Không đoán; hỏi làm rõ duration vs route","Conflicting — boundary case",challenge
A10,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C05,"conflicting + multi-city + couple + medium","4 ngày QB-Huế-ĐN nhưng list POI như tour 6 ngày được không",mơ hồ,"Hỏi ưu tiên hoặc rút route; không generate mù","Conflicting itinerary length",challenge
