scenario_id,source_owner,use_case,quality_question,dimension_values,user_input,expected_behavior,risk_if_fail,why_included,set_type,merge_decision
G01,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","full_context + couple + heritage + low","Mình và người yêu đi Đà Nẵng Hội An 4 ngày, ~3 triệu/ngày, ưu tiên phố cổ và di sản nhé","Parse đủ 5 mục; enable generate","Lịch sai constraint → user bỏ app","Baseline regression",representative,kept
G02,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","full_context + couple + heritage + low","2 người 4 ngày ĐN-HA budget 2 triệu/ngày thích văn hóa","Parse đủ 5 mục; enable generate","Lịch baseline fail","Style ngắn — cùng C01",representative,kept
G03,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_budget + friends_group + food + medium","Nhóm 4 đứa bạn đi Quảng Bình 5 ngày ưu tiên ăn uống và hang động chưa tính tiền chi tiết","Ask budget modal khi generate","Generate với giả định budget sai","Test missing_budget",representative,kept
G04,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_budget + friends_group + food + medium","3 bạn Phong Nha food tour 4 ngày chưa nghĩ ngân sách","Ask budget trước generate","Lịch food tour quá đắt/rẻ","Representative thiếu budget",representative,kept
G05,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_destination + ambiguous + solo + low","Muốn đi chơi miền Trung chill vài ngày một mình","Hỏi điểm đến; chip gợi ý","Agent đoán sai destination","Missing destination",challenge,kept
G06,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_destination + ambiguous + solo + low","trip relax central Vietnam maybe? solo","Hỏi destination; giữ ambiguity","Parse sai vùng miền Trung",mixed language ambiguous,challenge,kept
G07,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_duration + couple + DN-HA + low","Vợ chồng mình muốn đi Đà Nẵng Hội An thích biển và phố cổ","Parse destination; hỏi số ngày","Lịch sai số ngày","Missing duration",representative,kept
G08,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_duration + couple + DN-HA + low","Đôi mình plan Hội An chưa chốt mấy ngày","Parse DN-HA; hỏi duration","Skip hỏi duration","Explicit missing duration",representative,kept
G09,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","conflicting + multi-city + couple + medium","3 ngày thôi nhưng muốn kịp Phong Nha DMZ Huế luôn 2 người","Hỏi làm rõ duration vs route","Lịch không khả thi — mất trust","Conflicting boundary",challenge,kept
G10,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","conflicting + multi-city + couple + medium","4 ngày QB-Huế-ĐN nhưng list POI như tour 6 ngày được không","Hỏi ưu tiên; không generate mù","Overpacked itinerary",Conflicting POI count,challenge,kept
G11,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","full_context + family_kids + nature + low","Gia đình 2 vợ chồng + con 5 tuổi 4 ngày ĐN-HA ~2.5 triệu/ngày thích biển Bà Nà","Parse family; enable generate","Lịch không phù hợp trẻ nhỏ","Family persona",representative,kept
G12,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","full_context + family_kids + nature + low","Đi cùng con nhỏ 4 ngày miền Trung biển núi budget 2 triệu/ngày","Parse family_kids + nature","Wrong companion type","Family ngắn gọn",representative,kept
