scenario_id,owner,use_case,quality_question,combination_id,dimension_values,user_input,style,expected_behavior,why_included,set_type
A01,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C01,full_context + couple + heritage,"Mình với người yêu định đi Đà Nẵng Hội An 4 ngày, khoảng 2.5–3 triệu/ngày, thích phố cổ với di sản",dài,Parse đủ 5 mục checklist; acknowledge; báo user có thể bấm Tạo lịch trình,Baseline regression — use case đại diện (cặp đôi ĐN–HA di sản),representative
A02,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C01,full_context + couple + heritage,2 người 4N3Đ ĐN-HA ~3tr/ngày ưu tiên văn hóa,ngắn,Parse đủ 5 mục checklist; acknowledge; báo user có thể bấm Tạo lịch trình,Cùng C01 — style viết tắt; test parse từ ngôn ngữ ngắn,representative
A03,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C02,missing_budget + couple + heritage,"Vợ chồng mình muốn đi Hội An Đà Nẵng 4 ngày, thích di sản phố cổ, chưa tính chi tiết tiền ăn chơi",dài,Parse destination/duration/companions/style; không generate khi thiếu budget; hiện modal Ask khi user bấm Tạo lịch trình,Cặp đôi quên ngân sách — test premature generate vs Ask budget,representative
A04,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C02,missing_budget + couple + heritage,Đôi mình 4 ngày ĐN-HA phố cổ di sản — ngân sách để sau,ngắn,Parse destination/duration/companions/style; không generate khi thiếu budget; hiện modal Ask khi user bấm Tạo lịch trình,Cùng C02 — user nói thẳng thiếu budget,representative
A05,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C03,missing_destination + family_kids + nature,"Cuối tuần này muốn đưa con 4 tuổi đi biển chơi, thích chỗ thiên nhiên thoáng, chưa biết chọn đâu",dài,Parse companions (gia đình + trẻ nhỏ) và style thiên nhiên; hỏi destination trước; chip gợi ý vùng; không default cặp đôi,Ba mẹ chưa chốt thành phố — test không đoán destination,challenge
A06,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C03,missing_destination + family_kids + nature,đi biển với con nhỏ miền Trung chill thôi,mơ hồ,Parse companions (gia đình + trẻ nhỏ) và style thiên nhiên; hỏi destination trước; chip gợi ý vùng; không default cặp đôi,Cùng C03 — câu mơ hồ; failure cost nếu đoán sai vùng,challenge
A07,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C04,missing_duration + friends_group + food,"Tụi mình 4 đứa bạn muốn food tour Quảng Bình Phong Nha, ăn uống là chính, chưa chốt mấy ngày",dài,Parse destination/companions/style ẩm thực; hỏi số ngày theo thứ tự checklist,Nhóm bạn chốt điểm đến trước số ngày — test thứ tự hỏi duration,representative
A08,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C04,missing_duration + friends_group + food,3 bạn Phong Nha ăn uống hang động — bao nhiêu ngày hợp lý nhỉ chưa quyết,vòng vo,Parse destination/companions/style ẩm thực; hỏi số ngày theo thứ tự checklist; không tự gán duration dù user hỏi gợi ý,Cùng C04 — user hỏi ngược nhưng chưa chốt ngày,representative
A09,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C05,conflicting + couple + qbqt,"2 người 3 ngày thôi mà muốn kịp Phong Nha, DMZ, Huế luôn được không",dài,Không đoán route; hỏi làm rõ duration hoặc ưu tiên thành phố khi 3 ngày vs Phong Nha–DMZ–Huế,Quality boundary — duration vs multi-city route,challenge
A10,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C05,conflicting + couple + qbqt,couple 3D muốn QB → Quảng Trị → Huế hết trong một lần,ngắn + mixed,Không đoán route; hỏi làm rõ duration hoặc ưu tiên thành phố khi 3 ngày vs Phong Nha–DMZ–Huế,Cùng C05 — viết tắt + mixed language,challenge
